No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Chicken Pop Saos Gochujang,13000,25,30,20,300
2,Chicken Pop Saos Spicy,13000,25,30,20,300
3,Chicken Pop Saos Orange,13000,25,30,20,300
4,Chicken Pop Saos Lemon,13000,25,30,20,300
5,Chicken Pop Sambel Merah/ Ijo,13000,25,30,20,300
6,Chicken Pop Sambal Matah ,13000,25,30,20,300
7,Chicken Pop Saos Mentaiko,13000,25,30,20,300
8,Katsu Saos Barbeque,15000,25,30,20,300
9,Katsu Saos Lada Hitam,15000,25,30,20,300
10,Katsu Sambal Merah/Ijo,15000,25,30,20,300
11,Katsu Sambal Matah,15000,25,30,20,300
12,Katsu Saos Mentaiko,15000,25,30,20,300
13,Keju Mozarella,5000,32,10,28,350
14,Seawed Crumb,5000,15,50,5,350
